frequency	x	y	r
27000.000000150238	-1.4412285470981632e-05	-9.565772560764531e-05	2.0382049577854933e-05
27043.802715098762	-1.4748468288347522e-05	-9.715401053225677e-05	2.085748387761057e-05
27087.67649171051	-1.5246460489544695e-05	-9.804931769163311e-05	2.1561751202499645e-05
27131.621446372377	-1.530356924333391e-05	-9.953332200215637e-05	2.164251517663858e-05
27175.637693979126	-1.5326022817337286e-05	-0.00010250026458593724	2.16742693255179e-05
27219.725350171586	-1.659450918830137e-05	-0.0001055426925488552	2.3468179955020736e-05
27263.88453059059	-1.701130030337063e-05	-0.00010837072800408018	2.4057611602628294e-05
27308.11535087696	-1.8255462748395745e-05	-0.00011220875534615899	2.581712300617808e-05
27352.417928163675	-1.8508242577252186e-05	-0.00011709717257130849	2.6174607668441208e-05
27396.792378837632	-1.9661059994099898e-05	-0.00012507965747328523	2.780493769428716e-05
27441.23881928573	-2.122407635972635e-05	-0.00013298509705751758	3.0015376636767194e-05
27485.757365894868	-2.227586616277191e-05	-0.00014432282112900684	3.150283204099995e-05
27530.348136544093	-2.6140527660928383e-05	-0.0001634304221736445	3.696828874567396e-05
27575.011246874226	-3.187924637804504e-05	-0.00019890665682107243	4.508406258606466e-05
27619.74681551038	-4.063273970273854e-05	-0.00023840313721222196	5.746337156398857e-05
27664.5549603316	-5.5608364235233344e-05	-0.0003233237444852737	7.864210288284995e-05
27709.43579772478	-6.743158620194617e-05	-0.0004020966998231486	9.536266373912273e-05
27754.38944631503	-8.084594298247938e-05	-0.0004598457139622282	0.00011433342902866428
27799.416024727463	-8.491278634999497e-05	-0.0004786889937108766	0.0001200848140750519
27844.515650095047	-9.124492638151594e-05	-0.0005151893470309369	0.00012903981238647445
27889.688442535033	-0.00011534805904321869	-0.0006546063994955916	0.00016312678949233239
27934.934519180388	-0.00012697690164632967	-0.000698751811858731	0.000179572456416354
27980.253999402295	-0.0001431012053761136	-0.0007603056908859904	0.00020237566543483752
28025.647002571928	-0.00014903413432822967	-0.0008041999565210448	0.00021076609402351606
28071.113648060476	-0.0001511314937256531	-0.0008135718347536439	0.0002137322081285229
28116.65405523911	-0.00016306505564939568	-0.0008735970739043973	0.00023060881324849886
28162.268343479012	-0.00017406830758277909	-0.0008995413386061292	0.00024616976136289766
28207.956632897436	-0.00017253058110796145	-0.0008550227614388819	0.00024399508772699038
28253.719042865556	-0.00015430981349934955	-0.0008157477410959853	0.00021822703105804303
28299.555694992763	-0.00016485370311061743	-0.0008844673235520869	0.00023313834274646286
28345.466708650234	-0.00018468751073400736	-0.0009057965798175587	0.00026118758248095975
28391.452204701294	-0.0001882549184015549	-0.0009458697817996503	0.0002662326587869193
28437.51230475533	-0.00020639974063231864	-0.001013599056249973	0.0002918933124725142
28483.64712818352	-0.0002319100254165452	-0.0011116802687838618	0.0003279703031943674
28529.856798087392	-0.00023204566278738864	-0.0010664426230013557	0.00032816212340377885
28576.141434584202	-0.00024360876715667727	-0.0011892970958362994	0.0003445148224259624
