frequency	x	y	vac
60610.00000013195	-5.483219350554746e-07	1.1281273193213926e-06	0.09999999999999998
60610.025002425515	-7.627808000455166e-07	-2.306200665686647e-07	0.09999999999999998
60610.05000471909	-6.896011767498904e-07	2.1044408938801847e-06	0.09999999999999998
60610.07500626658	9.191468312177667e-07	3.4828419469583927e-07	0.09999999999999998
60610.100008560155	9.713215638553734e-07	4.031087475044535e-07	0.09999999999999998
60610.12501085372	1.1082504455725635e-06	9.266281663018687e-08	0.09999999999999998
60610.15001314729	8.451003886805844e-08	1.468567147587601e-07	0.09999999999999998
60610.17501544086	5.784409161786706e-07	4.842784254247681e-07	0.09999999999999998
60610.20001773443	2.7121397755952766e-07	4.63614648076618e-07	0.09999999999999998
60610.225020027996	4.1105289283603256e-10	5.9934423518088e-07	0.09999999999999998
60610.25002232157	8.977652432573152e-07	2.921366712114791e-07	0.09999999999999998
60610.27502461513	8.660637481780395e-07	-5.4944299724364125e-08	0.09999999999999998
60610.300026908706	5.333236378088604e-07	3.85044643135535e-07	0.09999999999999998
60610.32502920227	2.7143174127525617e-07	1.928823809734792e-06	0.09999999999999998
60610.350031495844	4.909353294992453e-07	3.391139598166026e-07	0.09999999999999998
60610.37503378941	2.2079049187199186e-06	4.2277455023649653e-07	0.09999999999999998
60610.40003608298	-5.983544624070684e-07	7.848759938310762e-08	0.09999999999999998
60610.425039122616	3.633509269821394e-07	9.708765525271058e-07	0.09999999999999998
60610.45004141619	-6.653782887281734e-08	2.1580129724783445e-06	0.09999999999999998
60610.475043709754	1.5306575391004715e-06	4.546189471407614e-07	0.09999999999999998
60610.500046003326	-4.190405514137889e-07	2.3657346803976723e-07	0.09999999999999998
60610.52504829689	6.16417495687282e-07	1.0239497071479426e-06	0.09999999999999998
60610.550050590464	2.422406457966345e-07	1.5834897063229452e-06	0.09999999999999998
60610.57505288403	2.409274000889459e-07	8.269214454935574e-07	0.09999999999999998
60610.60005592367	2.452054713024267e-07	1.845615163365816e-07	0.09999999999999998
60610.625058217236	8.279175646398859e-07	8.860451669617284e-07	0.09999999999999998
60610.65006051081	1.1346785052508428e-07	4.193547614366286e-07	0.09999999999999998
60610.675062804374	4.708201295181025e-07	4.3223233333269616e-07	0.09999999999999998
60610.700065844016	-8.783226719992295e-07	4.129723459211834e-07	0.09999999999999998
60610.72506813758	1.8758817591589594e-06	-5.670082681337418e-08	0.09999999999999998
60610.75007043115	1.882196475965506e-06	5.488526233236324e-07	0.09999999999999998
60610.77507272472	-4.50263449062154e-07	-4.876786310229876e-07	0.09999999999999998
60610.80007576436	8.031378555071927e-07	2.199734866857061e-07	0.09999999999999998
60610.825078057926	3.027676507833055e-07	3.5295120004838115e-07	0.09999999999999998
60610.8500803515	-3.93680784233804e-07	6.126462638590578e-07	0.09999999999999998
60610.87508339113	7.456036150589014e-07	1.5034904854653868e-06	0.09999999999999998
60610.900085684705	-3.0851588991985235e-07	5.314937017240261e-07	0.09999999999999998
60610.92508797827	9.183424219654367e-07	-8.80888293493992e-07	0.09999999999999998
60610.95009101791	2.9559668966955824e-07	3.0161647226971656e-08	0.09999999999999998
60610.975093311485	6.802873712130051e-07	1.298534796335507e-06	0.09999999999999998
60611.00009635112	5.016839232372849e-07	4.2736740288408973e-07	0.09999999999999998
60611.02509864469	5.507392011771511e-07	-2.262910103577029e-07	0.09999999999999998
60611.05010093826	3.2248762449731584e-07	3.3918161024748854e-07	0.09999999999999998
60611.0751039779	1.1859690921690753e-06	1.5322253795921766e-06	0.09999999999999998
60611.100106271464	4.773520546155031e-07	6.043698774411487e-07	0.09999999999999998
60611.125109311106	-2.7981162828331663e-07	6.594615285836575e-07	0.09999999999999998
60611.15011160467	-6.08207547284501e-07	-2.1071089874612452e-07	0.09999999999999998
60611.17511464431	5.031345861144294e-07	1.201717127279894e-06	0.09999999999999998
60611.20011693788	8.423211527375731e-07	2.810682241152605e-08	0.09999999999999998
60611.22511997752	6.961831300292114e-07	2.0504665369635768e-07	0.09999999999999998
60611.250122271085	3.981905139850231e-07	-1.4133884868954112e-07	0.09999999999999998
60611.27512531073	7.360929286429331e-07	7.850641547445848e-07	0.09999999999999998
60611.30012835036	7.622697215774592e-07	7.181711369250657e-07	0.09999999999999998
60611.325130643934	1.1604705627759776e-06	-5.738112323261537e-07	0.09999999999999998
60611.350133683576	-1.1095714526995442e-07	-2.6483291993151217e-07	0.09999999999999998
60611.37513597714	-6.283507558458978e-07	5.611972633903035e-07	0.09999999999999998
60611.40013901678	3.8433671721864066e-07	1.5618518736546153e-06	0.09999999999999998
60611.42514205642	9.57481535021808e-07	6.600961659264879e-07	0.09999999999999998
60611.45014434999	-2.466821161308263e-07	2.2319333853540353e-06	0.09999999999999998
60611.475147389625	8.463642801856305e-07	1.7383493199806258e-07	0.09999999999999998
60611.50015042927	5.502332551628593e-07	6.531589720976449e-07	0.09999999999999998
60611.52515272283	9.071485032286819e-07	6.704721106556566e-07	0.09999999999999998
60611.550155762474	6.43165840903048e-07	4.049423621916866e-07	0.09999999999999998
60611.57515880211	7.873192885879348e-07	7.439088152806879e-07	0.09999999999999998
60611.60016184175	-2.653671182844769e-07	3.7930666116381854e-08	0.09999999999999998
60611.625164135316	7.793858773715622e-07	8.491458844839901e-07	0.09999999999999998
60611.65016717496	8.484736144301338e-08	1.357316494680993e-06	0.09999999999999998
